country,countryLabel,capital,capitalLabel,flag,popolation,surface,unicode,map,linkcount
http://www.wikidata.org/entity/Q238,San Marino,http://www.wikidata.org/entity/Q1848,San Marino,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20San%20Marino.svg,33400,61.2,🇸🇲,http://commons.wikimedia.org/wiki/Special:FilePath/San%20Marino%20on%20the%20globe%20%28Europe%20centered%29.svg,275
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q3761,Accra,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ghana.svg,26908262,238535,🇬🇭,http://commons.wikimedia.org/wiki/Special:FilePath/Ghana%20%28orthographic%20projection%29.svg,275
http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q3761,Accra,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ghana.svg,26908262,238535,🇬🇭,http://commons.wikimedia.org/wiki/Special:FilePath/LocationGhana.svg,275
http://www.wikidata.org/entity/Q77,Uruguay,http://www.wikidata.org/entity/Q1335,Montevideo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uruguay.svg,3456750,176215,🇺🇾,http://commons.wikimedia.org/wiki/Special:FilePath/URY%20orthographic.svg,274
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q3838,Kinshasa,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Democratic%20Republic%20of%20the%20Congo.svg,86790567,2344858,🇨🇩,http://commons.wikimedia.org/wiki/Special:FilePath/COD%20orthographic.svg,273
http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q3838,Kinshasa,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Democratic%20Republic%20of%20the%20Congo.svg,86790567,2344858,🇨🇩,http://commons.wikimedia.org/wiki/Special:FilePath/LocationDRCongo.svg,273
http://www.wikidata.org/entity/Q854,Sri Lanka,http://www.wikidata.org/entity/Q35381,Colombo,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sri%20Lanka.svg,21444000,65610,🇱🇰,http://commons.wikimedia.org/wiki/Special:FilePath/Sri%20Lanka%20%28orthographic%20projection%29.svg,272
http://www.wikidata.org/entity/Q854,Sri Lanka,http://www.wikidata.org/entity/Q41963,Sri Jayawardenepura Kotte,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sri%20Lanka.svg,21444000,65610,🇱🇰,http://commons.wikimedia.org/wiki/Special:FilePath/Sri%20Lanka%20%28orthographic%20projection%29.svg,272
http://www.wikidata.org/entity/Q924,Tanzania,http://www.wikidata.org/entity/Q3866,Dodoma,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tanzania.svg,57310019,947303,🇹🇿,http://commons.wikimedia.org/wiki/Special:FilePath/LocationTanzania.svg,271
http://www.wikidata.org/entity/Q924,Tanzania,http://www.wikidata.org/entity/Q3866,Dodoma,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tanzania.svg,57310019,947303,🇹🇿,http://commons.wikimedia.org/wiki/Special:FilePath/Tanzania%20on%20the%20globe%20%28Africa%20centered%29.svg,271
http://www.wikidata.org/entity/Q954,Zimbabwe,http://www.wikidata.org/entity/Q3921,Harare,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zimbabwe.svg,16529904,390757,🇿🇼,http://commons.wikimedia.org/wiki/Special:FilePath/Zimbabwe%20%28orthographic%20projection%29.svg,271
http://www.wikidata.org/entity/Q954,Zimbabwe,http://www.wikidata.org/entity/Q3921,Harare,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zimbabwe.svg,16529904,390757,🇿🇼,http://commons.wikimedia.org/wiki/Special:FilePath/LocationZimbabwe.svg,271
http://www.wikidata.org/entity/Q954,Zimbabwe,http://www.wikidata.org/entity/Q3921,Harare,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zimbabwe.svg,16529904,390757,🇿🇼,http://commons.wikimedia.org/wiki/Special:FilePath/Zimbabwe%20on%20the%20globe%20%28Africa%20centered%29.svg,271
http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q3551,Rabat,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Morocco.svg,36029138,446550,🇲🇦,http://commons.wikimedia.org/wiki/Special:FilePath/LocationMorocco2.svg,271
